period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
1999-05-01,24.87741935483871,27.225806451612904,31.5,23.061290322580643,17.0,4.164516129032258,81.7741935483871,177.79999999999998,17,6,0
1999-06-01,28.896666666666665,31.470000000000002,33.4,26.75,25.0,4.72,78.93333333333334,197.4,16,27,0
1999-07-01,29.148387096774194,31.59032258064516,33.7,27.17096774193548,23.8,4.419354838709677,80.6774193548387,203.79999999999998,22,26,0
1999-08-01,28.32903225806452,30.816129032258065,35.1,26.23225806451613,23.7,4.5838709677419365,82.06451612903226,892.0,20,22,0
1999-09-01,27.836666666666666,30.36,32.8,25.876666666666665,22.8,4.483333333333333,77.9,365.7,16,17,0
1999-10-01,26.200000000000003,28.55806451612903,31.6,24.583870967741937,19.9,3.9741935483870967,73.54838709677419,38.800000000000004,6,10,0
1999-11-01,22.203333333333333,24.470000000000002,27.7,20.296666666666667,13.7,4.173333333333334,69.73333333333333,15.7,1,0,0
1999-12-01,16.825806451612905,19.138709677419353,23.6,14.812903225806451,5.8,4.325806451612904,60.0,32.9,6,0,6
2000-01-01,17.0,19.080645161290324,24.0,15.283870967741937,7.2,3.7967741935483876,74.35483870967742,70.3,4,0,8
2000-02-01,15.355172413793104,17.396551724137932,23.2,13.617241379310345,8.5,3.779310344827586,80.3103448275862,27.6,12,0,7
2000-03-01,19.15806451612903,21.480645161290322,27.7,17.219354838709677,11.0,4.261290322580645,78.96774193548387,40.9,6,0,1
2000-04-01,23.083333333333332,25.096666666666668,30.2,21.39,19.0,3.7066666666666674,85.3,547.7,20,1,0
2000-05-01,26.093548387096774,28.425806451612903,32.4,24.538709677419355,20.6,3.887096774193549,80.0,208.29999999999998,11,10,0
2000-06-01,28.279999999999998,30.83,34.2,26.363333333333333,21.8,4.466666666666667,77.96666666666667,443.29999999999995,15,21,0
2000-07-01,28.851612903225806,31.251612903225805,33.2,26.874193548387098,24.5,4.377419354838709,79.61290322580645,304.0,19,24,0
