user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name,prod_type,prod_typedesc
4,Street lighting,M,198101,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198110,ELEC_LOCAL,Terajoule,3828,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198110,ELEC_LOCAL,Terajoule,786,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198110,ELEC_LOCAL,Terajoule,1642,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198110,ELEC_LOCAL,Terajoule,1388,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198110,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198111,ELEC_LOCAL,Terajoule,3236,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198111,ELEC_LOCAL,Terajoule,595,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198111,ELEC_LOCAL,Terajoule,1377,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198111,ELEC_LOCAL,Terajoule,1252,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198111,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198112,ELEC_LOCAL,Terajoule,2990,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198112,ELEC_LOCAL,Terajoule,550,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198112,ELEC_LOCAL,Terajoule,1246,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198112,ELEC_LOCAL,Terajoule,1181,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198112,ELEC_LOCAL,Terajoule,13,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198102,ELEC_LOCAL,Terajoule,2559,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198102,ELEC_LOCAL,Terajoule,585,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198102,ELEC_LOCAL,Terajoule,1106,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198102,ELEC_LOCAL,Terajoule,855,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198102,ELEC_LOCAL,Terajoule,13,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198103,ELEC_LOCAL,Terajoule,2858,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198103,ELEC_LOCAL,Terajoule,546,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198103,ELEC_LOCAL,Terajoule,1180,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198103,ELEC_LOCAL,Terajoule,1120,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198103,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198104,ELEC_LOCAL,Terajoule,3234,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198104,ELEC_LOCAL,Terajoule,612,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198104,ELEC_LOCAL,Terajoule,1364,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198104,ELEC_LOCAL,Terajoule,1247,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198104,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198105,ELEC_LOCAL,Terajoule,3556,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198105,ELEC_LOCAL,Terajoule,681,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198105,ELEC_LOCAL,Terajoule,1488,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198105,ELEC_LOCAL,Terajoule,1376,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198105,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198106,ELEC_LOCAL,Terajoule,3719,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198106,ELEC_LOCAL,Terajoule,736,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198106,ELEC_LOCAL,Terajoule,1568,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198106,ELEC_LOCAL,Terajoule,1404,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198106,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198107,ELEC_LOCAL,Terajoule,4179,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198107,ELEC_LOCAL,Terajoule,967,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198107,ELEC_LOCAL,Terajoule,1735,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198107,ELEC_LOCAL,Terajoule,1466,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
