period_month,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax
2018-08-01,126.2528064516129,4024.4456451612937,133.476838709677,1796.1169677419352,226.228580645161,5594.588709677417,898.459789774194
2018-09-01,105.0852666666667,3902.1981333333297,140.299133333333,1779.8601,225.271866666667,5562.526866666667,858.9295413
2018-10-01,135.9928387096775,4226.12087096774,147.22,1834.80564516129,227.978806451613,5803.407129032263,881.422794322581
2018-11-01,133.7267666666667,4295.23583333333,149.513966666667,1853.680566666667,233.873166666667,5953.47023333333,895.9373042
2018-12-01,141.8274193548387,4155.113806451612,142.569290322581,1782.791032258064,219.822322580645,5820.164483870964,884.314446612903
2019-01-01,131.7986451612904,4269.915322580648,147.771322580645,1827.3016129032249,223.309225806452,5900.222516129032,874.113834322581
2019-02-01,144.61146428571422,4090.898571428575,136.112678571429,1729.8810714285698,216.003785714286,5560.989000000002,871.042904857143
2019-03-01,128.7276451612903,4220.3401290322545,145.049419354839,1808.352870967743,219.587806451613,5755.144741935485,884.814192709677
2019-04-01,129.70276666666672,4082.8071666666638,138.354933333333,1755.6278666666672,213.872266666667,5487.06366666667,861.0235718
2019-05-01,124.90558064516131,4180.405161290319,145.68164516129,1786.990903225811,218.74464516129,5677.203580645159,868.076214709677
2019-06-01,121.7695,4120.958,144.331633333333,1786.652,220.985266666667,5589.192599999997,879.032155166667
2019-07-01,116.13900000000001,4062.6322258064524,135.390548387097,1760.396290322583,211.45564516129,5467.324935483873,859.585674387097
2019-08-01,104.2326129032258,3902.44541935484,133.928774193548,1735.584645161286,207.158709677419,5151.12732258065,843.376359774194
2019-09-01,106.24310000000011,4268.960366666667,146.0275,1799.7905999999998,217.384033333333,5173.012433333336,857.109333333333
2019-10-01,114.843,4264.701161290321,138.485129032258,1712.297225806452,206.013516129032,4202.301709677419,828.928637419355
2019-11-01,127.0624666666667,3615.3614666666667,129.5528,1718.237366666667,206.9867,4324.770133333336,811.812176166667
2019-12-01,118.0784193548386,4038.103064516129,151.272741935484,1709.404387096776,202.905451612903,4763.783774193552,818.093068322581
2020-01-01,107.57048387096779,3859.147935483873,135.175548387097,1590.405612903222,189.834,4529.112967741935,807.214316451613
2020-02-01,72.23393103448271,2540.94886206897,95.4274137931035,1102.089965517241,136.972724137931,2807.6012413793087,556.726655172414
2020-03-01,77.2505483870968,2647.1147096774243,101.842677419355,1169.276096774197,144.211612903226,3076.0917419354846,579.206612903226
2020-04-01,74.7740333333333,2488.523499999996,97.5671333333333,1115.761266666667,133.1424,2837.6710333333335,531.728033333333
2020-05-01,90.4621935483871,3041.8842903225805,112.732870967742,1279.639645161286,161.57335483871,3551.9260967741893,676.682032258065
2020-06-01,94.0388333333333,3497.3174,131.1602,1469.3907333333368,183.596333333333,4165.64643333333,782.3955
2020-07-01,75.2729677419355,2861.495032258065,109.347225806452,1239.971354838709,155.461193548387,3344.3650000000043,627.718064516129
2020-08-01,65.9816129032258,2478.7155806451647,94.6201935483871,1087.870096774194,139.597193548387,2888.3114516129044,552.369516129032
2020-09-01,80.3589,3146.0975333333304,117.453733333333,1331.1883,163.514266666667,3814.7536666666706,707.770266666667
2020-10-01,103.278870967742,3434.309451612903,130.427225806452,1427.90758064516,168.17264516129,4171.024032258068,735.52935483871
2020-11-01,101.1209,3561.538433333333,137.163466666667,1482.172899999997,170.705166666667,4331.099100000002,738.688533333333
2020-12-01,87.905870967742,2863.7437096774165,116.153419354839,1225.7377419354862,143.856806451613,3414.9881612903173,617.560483870968
2021-01-01,81.5878709677419,2847.9630967741896,114.281193548387,1246.7249032258062,143.07635483871,3422.283225806449,600.88135483871
2021-02-01,101.41328571428569,3053.18607142857,117.536714285714,1310.7559285714292,153.617178571429,3716.3479285714266,687.92
2021-03-01,96.2551290322581,3389.0485161290358,132.694225806452,1440.15732258065,166.195709677419,4192.059580645163,712.64535483871
2021-04-01,108.71283333333331,3489.1090666666673,133.157266666667,1462.4585,172.692,4213.129366666667,735.638833333333
2021-05-01,93.6066129032258,3553.510483870964,139.944451612903,1513.031838709675,179.645161290323,4335.43387096774,785.105193548387
2021-06-01,89.9069666666667,3591.687733333334,141.737366666667,1525.3538333333331,184.6428,4479.43173333333,795.2244
2021-07-01,95.568870967742,3523.704419354842,140.478483870968,1515.1447419354831,186.273516129032,4593.015387096774,804.79035483871
2021-08-01,98.4314516129032,3550.579032258069,139.205903225806,1527.829193548392,193.541709677419,4661.439580645161,810.901548387097
2021-09-01,92.812,3762.3792000000035,153.800566666667,1608.3440333333328,198.817966666667,4903.167866666667,827.229766666667
2021-10-01,90.42038709677419,3409.5012580645175,138.97864516129,1465.4491612903248,182.859225806452,4572.02551612903,757.336612903226
2021-11-01,105.5119000000001,3802.6173000000035,153.459433333333,1607.27336666667,202.332533333333,4968.3293666666705,810.557533333333
2021-12-01,113.6950967741936,3666.8822903225855,150.055290322581,1548.262129032255,196.698838709677,4961.608161290325,816.354516129032
2022-01-01,81.335806451613,3159.2326774193507,126.686709677419,1354.752903225806,169.244903225806,4034.544419354841,689.494322580645
2022-02-01,57.211178571428604,2073.031642857144,83.6522142857143,923.247607142857,121.608035714286,2566.679821428574,544.181214285714
2022-03-01,46.9830322580644,1860.209580645162,82.8731290322581,868.751225806452,107.049387096774,2402.175451612898,477.497903225806
2022-04-01,93.3552,2691.1038333333304,114.149866666667,1178.39013333333,141.5932,3443.6480666666635,644.530666666667
2022-05-01,86.3115806451614,3231.2135161290357,136.538032258065,1389.5531612903178,170.337935483871,4376.60009677419,766.190870967742
2022-06-01,83.0993666666667,3385.25933333333,143.028166666667,1456.041699999997,181.961733333333,4594.218199999996,808.861533333333
2022-07-01,80.9739032258065,3290.4667741935523,137.751774193548,1408.27070967742,173.971225806452,4489.235258064521,768.597129032258
2022-08-01,81.7257741935484,3347.5893870967748,138.256774193548,1433.322774193548,180.633129032258,4613.309677419352,761.645903225806
2022-09-01,85.5984333333334,3557.647100000004,154.036866666667,1500.903166666667,186.388266666667,4789.291033333333,778.958266666667
2022-10-01,95.8519032258065,3601.3818064516136,156.665258064516,1506.688999999998,186.013677419355,4804.5855161290365,768.110193548387
2022-11-01,90.5248,3550.633066666667,155.745666666667,1471.504933333337,184.708033333333,4782.924333333329,755.745733333333
2022-12-01,100.1439354838709,3442.631290322584,152.811193548387,1433.128129032255,177.886967741935,4706.167161290321,758.017
2023-01-01,98.4167096774193,3419.576741935488,150.10335483871,1399.168290322579,171.911096774194,4631.300612903224,727.38335483871
2023-02-01,100.47246428571441,3770.1561785714325,163.071892857143,1516.6773214285759,183.27625,5237.945642857139,762.576392857143
2023-03-01,108.9528064516129,3798.4197096774187,165.445193548387,1520.190548387099,184.898322580645,5304.357967741934,749.180516129032
2023-04-01,116.6012333333334,3558.128733333333,153.187333333333,1422.4458333333332,175.663,4967.66406666667,727.159733333333
2023-05-01,104.3443870967741,3644.878677419355,157.968193548387,1473.564225806454,185.006258064516,5073.331870967747,740.229967741936
2023-06-01,98.1744333333334,3699.611866666669,160.2848,1486.0071333333299,190.2786,5151.095766666663,748.546566666667
2023-07-01,108.66519354838701,3591.7649354838727,151.400741935484,1436.251096774194,181.958709677419,5158.510903225808,734.920967741935
2023-08-01,118.5611612903225,3693.583354838709,152.812483870968,1474.475967741935,187.083677419355,5327.585612903227,747.396741935484
2023-09-01,87.4171333333334,3496.3629333333297,155.151533333333,1400.417766666667,182.309166666667,5053.025799999997,682.2934
2023-10-01,107.3918387096775,3668.7248064516107,160.078129032258,1455.946838709676,182.917096774194,5254.161193548387,691.754806451613
2023-11-01,112.9451,3934.177233333327,169.148866666667,1540.0696666666631,193.588133333333,5531.229166666667,719.056566666667
2023-12-01,119.8606774193548,3733.72574193548,158.758064516129,1447.146645161289,182.173580645161,5387.850064516128,707.102612903226
2024-01-01,112.13861290322569,3835.667129032262,164.437838709677,1494.7554516129,188.146193548387,5447.59912903226,702.265935483871
2024-02-01,125.7051034482759,3699.0721724137898,151.464965517241,1415.2255862068998,179.075103448276,5275.978137931039,708.562689655172
2024-03-01,107.4889677419354,3734.0568709677386,159.062387096774,1452.622419354838,178.663516129032,5237.317677419352,705.505064516129
2024-04-01,101.5214333333333,3688.047899999999,158.609866666667,1441.516966666663,179.446533333333,5126.635099999996,692.669066666667
2024-05-01,101.1987096774194,3735.3543225806443,161.463483870968,1458.094387096776,180.869677419355,5193.091806451616,683.527806451613
2024-06-01,94.4431000000001,3707.093266666664,159.742833333333,1450.098799999997,185.212,5152.030933333336,693.053966666667
2024-07-01,104.444064516129,3725.757580645164,157.71164516129,1457.934580645157,181.912161290323,5254.968580645163,678.812580645161
2024-08-01,115.026806451613,3737.9422258064474,154.117451612903,1463.48309677419,186.780709677419,5312.552967741931,677.931741935484
2024-09-01,87.2744666666667,3782.0316666666663,164.871666666667,1495.45253333333,191.589266666667,5316.4374,653.654366666667
2024-10-01,111.8271290322581,3945.10838709677,170.346419354839,1536.824548387092,194.412967741935,5483.152225806451,663.874838709677
