period_month,mode,ttd_pto_code,avg_daily_pax
2015-06-01,Fran_Bus,NWFB,459.6413
2015-06-01,Fran_Bus,LWB,101.938
2015-06-01,Fran_Bus,NLB,65.5402
2015-06-01,Railways,MTRC,4581.6881
2015-06-01,Railways,MTRC,42.7111666666667
2015-06-01,Railways,MTRC,491.016
2015-06-01,Railways,HKT,168.819333333333
2015-07-01,PLB,GMB,1522.74970967742
2015-07-01,PLB,RMB,335.105096774194
2015-07-01,Ferries,NWFF,39.0228064516129
2015-07-01,Ferries,STF,57.4322580645161
2015-07-01,Ferries,LFS,33.2136129032258
2015-07-01,TAX,TAX,966.513261612903
2015-07-01,RS,RS,231.649451612903
2015-07-01,LRB,LRB,133.718903225806
2015-07-01,Fran_Bus,KMB,2605.413
2015-07-01,Fran_Bus,CTB,613.11635483871
2015-07-01,Fran_Bus,NWFB,449.976193548387
2015-07-01,Fran_Bus,LWB,103.282838709677
2015-07-01,Fran_Bus,NLB,66.6187419354839
2015-07-01,Railways,MTRC,4607.78496774194
2015-07-01,Railways,MTRC,42.2246774193548
2015-07-01,Railways,MTRC,480.342516129032
2015-07-01,Railways,HKT,164.321096774194
2015-08-01,PLB,GMB,1534.00106451613
2015-08-01,PLB,RMB,331.658870967742
2015-08-01,Railways,HKT,169.864225806452
2015-08-01,Railways,MTRC,473.171741935484
2015-08-01,Railways,MTRC,43.083
2015-08-01,Railways,MTRC,4650.17212903226
2015-08-01,Fran_Bus,NLB,67.8128387096774
2015-08-01,Fran_Bus,LWB,104.949806451613
2015-08-01,Fran_Bus,NWFB,457.607741935484
2015-08-01,Fran_Bus,CTB,634.832096774194
2015-08-01,Fran_Bus,KMB,2628.77558064516
2015-08-01,LRB,LRB,131.222096774194
2015-08-01,RS,RS,239.64964516129
2015-08-01,TAX,TAX,983.464198225807
2015-08-01,Ferries,LFS,37.0664516129032
2015-08-01,Ferries,STF,60.0626774193548
2015-08-01,Ferries,NWFF,43.487
2015-09-01,Fran_Bus,KMB,2725.70726666667
2015-09-01,Railways,HKT,179.901066666667
2015-09-01,LRB,LRB,143.416166666667
2015-09-01,RS,RS,242.769033333333
2015-09-01,TAX,TAX,977.902841166667
2015-09-01,Ferries,LFS,38.6308333333333
2015-09-01,Ferries,STF,48.7549666666667
2015-09-01,Ferries,NWFF,39.6804666666667
2015-09-01,PLB,RMB,322.8741
2015-09-01,PLB,GMB,1581.6143
2015-09-01,Railways,MTRC,44.1400666666667
2015-09-01,Railways,MTRC,4684.93053333333
2015-09-01,Fran_Bus,NLB,71.4591
2015-09-01,Fran_Bus,LWB,100.909066666667
2015-09-01,Fran_Bus,NWFB,471.2366
2015-09-01,Fran_Bus,CTB,633.8753
2015-09-01,Railways,MTRC,508.002633333333
